ID,year,d180
x8b,200,32.041
x8b,201,28.454
x8b,202,30.506
x8b,203,29.784
x8b,204,30.099
x8b,205,31.767
x8b,206,27.553
x8b,207,29.296
x8b,208,27.484
x8b,209,32.072
x8b,210,29.439
x8b,211,31.387
x8b,212,30.477
x8b,213,29.594
x8b,214,28.215
x8b,215,29.202
x8b,216,30.107
x8b,217,30.075
x8b,218,31.249
x8b,219,28.25
x8b,220,28.813
x8b,221,31.397
x8b,222,31.329
x8b,223,27.491
x8b,224,28.67
x8b,225,31
x8b,226,28.122
x8b,227,31.786
x8b,228,29.246
x8b,229,28.3
x8b,230,27.52
x8b,231,29.983
x8b,232,28.788
x8b,233,28.585
x8b,234,30.064
x8b,235,28.437
x8b,236,31.404
x8b,237,29.17
x8b,238,28.977
x8b,239,30.41
x8b,240,28.881
x8b,241,30.042
x8b,242,29.309
x8b,243,29.421
x8b,244,31.765
x8b,245,29.058
x8b,246,29.273
x8b,247,27.976
x8b,248,29.149
x8b,249,30.467
x8b,250,27.63
x8b,251,27.64
x8b,252,29.046
x8b,253,29.959
x8b,254,28.625
x8b,255,28.72
x8b,256,28.242
x8b,257,26.169
x8b,258,28.267
x8b,259,27.36
x8b,260,28.343
x8b,261,28.298
x8b,262,28.371
x8b,263,28.066
x8b,264,31.914
x8b,265,31.841
x8b,266,30.128
x8b,267,27.94
x8b,268,30.832
x8b,269,29.138
x8b,270,26.316
x8b,271,27.872
x8b,272,30.932
x8b,273,30.812
x8b,274,31.744
x8b,275,30.531
x8b,276,29.98
x8b,277,31.294
x8b,278,28.83
x8b,279,29.26
x8b,280,26.382
x8b,281,29.71
x8b,282,31.37
x8b,283,28.736
x8b,284,28.662
x8b,285,29.196
x8b,286,28.86
x8b,287,28.469
x8b,288,28.378
x8b,289,32.161
x8b,290,29.066
x8b,291,28.471
x8b,292,27.806
x8b,293,28.56
x8b,294,28.607
x8b,295,27.162
x8b,296,29.539
x8b,297,30.033
x8b,298,29.066
x8b,299,30.705
x8b,300,27.637
x8b,301,27.735
x8b,302,28.027
x8b,303,29.015
x8b,304,28.379
x8b,305,28.151
x8b,306,28.643
x8b,307,26.931
x8b,308,28.163
x8b,309,28.336
x8b,310,
x8b,311,27.044
x8b,312,28.135
x8b,313,27.659
x8b,314,26.748
x8b,315,28.845
x8b,316,27.697
x8b,317,28.234
x8b,318,27.322
x8b,319,28.42
x8b,320,29.478
x8b,321,28.303
x8b,322,27.513
x8b,323,26.214
x8b,324,28.061
x8b,325,29.247
x8b,326,29.11
x8b,327,26.824
x8b,328,28.234
x8b,329,31.358
x8b,330,
x8b,331,28.601
x8b,332,28.346
x8b,333,30.025
x8b,334,28.729
x8b,335,28.676
x8b,336,28.476
x8b,337,26.48
x8b,338,27.946
x8b,339,28.253
x8b,340,29.193
x8b,341,27.346
x8b,342,27.926
x8b,343,27.942
x8b,344,29.151
x8b,345,25.718
x8b,346,27.438
x8b,347,28.186
x8b,348,30.107
x8b,349,27.648
x8b,350,28.487
w1,228,28.453
w1,229,30.646
w1,230,29.685
w1,231,28.786
w1,232,28.753
w1,233,27.63
w1,234,28.666
w1,235,29.297
w1,236,30.768
w1,237,32.149
w1,238,30.44
w1,239,28.38
w1,240,30.774
w1,241,30.955
w1,242,31.018
w1,243,28.26
w1,244,28.75
w1,245,29.655
w1,246,29.505
w1,247,30.312
w1,248,30.205
w1,249,29.663
w1,250,29.011
w1,251,26.856
w1,252,28.659
w1,253,29.978
w1,254,30.352
w1,255,28.461
w1,256,27.266
w1,257,28.214
w1,258,28.107
w1,259,28.055
w1,260,27.94
w1,261,29.185
w1,262,29.21
w1,263,27.86
w1,264,27.7
w1,265,27.657
w1,266,29.686
w1,267,28.067
w1,268,29.675
w1,269,28.48
w1,270,30.04
w1,271,29.22
w1,272,30.268
w1,273,29.54
w1,274,29.48
w1,275,29.096
w1,276,29.491
w1,277,29.019
w1,278,30.511
w1,279,30.048
w1,280,28.694
w1,281,29.216
w1,282,29.315
w1,283,28.321
w1,284,28.615
w1,285,28.019
w1,286,28.565
w1,287,29.438
w1,288,28.947
w1,289,29.957
w1,290,29.31
w1,291,28.753
w1,292,28.966
w1,293,28.338
w1,294,29.734
w1,295,28.59
w1,296,30.301
w1,297,28.802
w1,298,28.269
w1,299,29.517
w1,300,29.632
w1,301,
w1,302,
w1,303,29.33
w1,304,29.471
w1,305,28.001
w1,306,28.442
w1,307,29.525
w1,308,29.85
w1,309,
w1,310,29.118
w1,311,28.095
w1,312,29.028
w1,313,29.924
w1,314,
w1,315,28.995
w1,316,28.577
w1,317,29.609
w1,318,29.5
w1,319,28.903
w1,320,28.495
w1,321,29.015
w1,322,26.808
w1,323,29.08
w1,324,27.306
w1,325,28.847
w1,326,28.392
w1,327,29.267
w1,328,29.548
w1,329,28.495
w1,330,29.044
w1,331,29.947
w1,332,28.398
w1,333,26.911
w1,334,28.466
w1,335,28.726
w1,336,
w1,337,29.905
w1,338,28.118
w1,339,28.735
w1,340,29.254
w1,341,27.804
w1,342,29.277
w1,343,28.618
w1,344,29.164
w1,345,28.577
w1,346,28.162
w1,347,29.186
w1,348,28.114
w1,349,27.867
w1,350,27.073
x2b,200,28.913
x2b,201,26.941
x2b,202,28.09
x2b,203,28.401
x2b,204,29.469
x2b,205,25.76
x2b,206,30.074
x2b,207,28.116
x2b,208,25.98
x2b,209,27.03
x2b,210,29.154
x2b,211,29.212
x2b,212,27.209
x2b,213,27.553
x2b,214,26.701
x2b,215,27.931
x2b,216,26.145
x2b,217,30
x2b,218,27.537
x2b,219,29.298
x2b,220,27.395
x2b,221,29.543
x2b,222,30.065
x2b,223,29.476
x2b,224,29.093
x2b,225,29.651
x2b,226,29.626
x2b,227,29.13
x2b,228,28.576
x2b,229,30.785
x2b,230,28.522
x2b,231,28.538
x2b,232,28.335
x2b,233,27.485
x2b,234,29.634
x2b,235,28.271
x2b,236,29.14
x2b,237,30.292
x2b,238,27.569
x2b,239,28.279
x2b,240,29.144
x2b,241,28.964
x2b,242,35.028
x2b,243,26.92
x2b,244,28.29
x2b,245,26.78
x2b,246,27.93
x2b,247,27.801
x2b,248,28.371
x2b,249,27.842
x2b,250,28.01
x2b,251,27.021
x2b,252,29.593
x2b,253,27.082
x2b,254,26.831
x2b,255,29.225
x2b,256,28.272
x2b,257,26.566
x2b,258,28.284
x2b,259,
x2b,260,29.379
x2b,261,28.399
x2b,262,28.367
x2b,263,28.329
x2b,264,29.361
x2b,265,29.233
x2b,266,31.2
x2b,267,29.14
x2b,268,29.637
x2b,269,33.141
x2b,270,29.02
x2b,271,30.43
x2b,272,31.203
x2b,273,28.408
x2b,274,30.17
x2b,275,29.234
x2b,276,29.462
x2b,277,29.515
x2b,278,29.22
x2b,279,28.21
x2b,280,29.034
x2b,281,27.87
x2b,282,30.835
x2b,283,28.568
x2b,284,26.98
x2b,285,27.449
x2b,286,28.839
x2b,287,28.761
x2b,288,26.935
x2b,289,31.227
x2b,290,28.919
x2b,291,28.728
x2b,292,30.002
x2b,293,29.054
x2b,294,28.889
x2b,295,28.524
x2b,296,27.941
x2b,297,29.725
x2b,298,30.996
x2b,299,29.21
x2b,300,28.834
x2b,301,27.675
x2b,302,28.047
x2b,303,27.281
x2b,304,28.117
x2b,305,28.972
x2b,306,28.831
x2b,307,
x2b,308,
x2b,309,28.002
x2b,310,27.608
x2b,311,28.796
x2b,312,28.072
x2b,313,28.257
x2b,314,26.945
x2b,315,28.059
x2b,316,28.289
x2b,317,28.925
x2b,318,29.038
x2b,319,28.313
x2b,320,27.042
x2b,321,28.07
x2b,322,27.249
x2b,323,29.164
x2b,324,28.772
x2b,325,28.39
x2b,326,28.425
x2b,327,28.767
x2b,328,29.261
x2b,329,27.888
x2b,330,29.016
x2b,331,29.054
x2b,332,29.941
x2b,333,27.194
x2b,334,27.956
x2b,335,27.761
x2b,336,28.925
x2b,337,29.17
x2b,338,27.663
x2b,339,
x2b,340,29.326
x2b,341,28.034
x2b,342,28.065
x2b,343,27.896
x2b,344,27.867
x2b,345,28.025
x2b,346,28.179
x2b,347,28.551
x2b,348,29.071
x2b,349,27.331
x2b,350,28.058
x2b2,200,28.232
x2b2,201,27.464
x2b2,202,28.451
x2b2,203,27.883
x2b2,204,29.845
x2b2,205,28.089
x2b2,206,29.299
x2b2,207,28.327
x2b2,208,27.454
x2b2,209,29.378
x2b2,210,28.987
x2b2,211,28.897
x2b2,212,28.573
x2b2,213,28.136
x2b2,214,26.868
x2b2,215,28.125
x2b2,216,26.993
x2b2,217,27.339
x2b2,218,26.758
x2b2,219,26.35
x2b2,220,28.029
x2b2,221,27.896
x2b2,222,28.407
x2b2,223,28.998
x2b2,224,27.71
x2b2,225,29.093
x2b2,226,26.875
x2b2,227,29.152
x2b2,228,28.399
x2b2,229,30.633
x2b2,230,28.842
x2b2,231,28.324
x2b2,232,28.652
x2b2,233,27.946
x2b2,234,29.128
x2b2,235,27.059
x2b2,236,28.549
x2b2,237,30.106
x2b2,238,27.935
x2b2,239,28.23
x2b2,240,28.022
x2b2,241,28.827
x2b2,242,29.703
x2b2,243,26.7
x2b2,244,27.542
x2b2,245,27.56
x2b2,246,27.71
x2b2,247,26.653
x2b2,248,28.629
x2b2,249,28.757
x2b2,250,26.308
x2b2,251,26.906
x2b2,252,26.784
x2b2,253,27.48
x2b2,254,27.024
x2b2,255,27.216
x2b2,256,27.418
x2b2,257,26.56
x2b2,258,27.504
x2b2,259,27.454
x2b2,260,27.948
x2b2,261,27.591
x2b2,262,28.583
x2b2,263,27.54
x2b2,264,28.633
x2b2,265,29.454
x2b2,266,30.687
x2b2,267,29.362
x2b2,268,29.402
x2b2,269,29.426
x2b2,270,28.3
x2b2,271,28.865
x2b2,272,28.79
x2b2,273,28.306
x2b2,274,29.982
x2b2,275,29.623
x2b2,276,29.829
x2b2,277,29.856
x2b2,278,29.22
x2b2,279,27.43
x2b2,280,29.544
x2b2,281,27.654
x2b2,282,29.321
x2b2,283,27.833
x2b2,284,28.263
x2b2,285,26.218
x2b2,286,27.921
x2b2,287,28.182
x2b2,288,26.071
x2b2,289,26.808
x2b2,290,27.77
x2b2,291,28.772
x2b2,292,28.32
x2b2,293,25.21
x2b2,294,26.93
x2b2,295,27.04
x2b2,296,27.79
x2b2,297,27.375
x2b2,298,27.902
x2b2,299,28.739
x2b2,300,28.612
x2b2,301,28.25
x2b2,302,27.446
x2b2,303,27.366
x2b2,304,27.978
x2b2,305,28.111
x2b2,306,28.131
x2b2,307,27.711
x2b2,308,27.265
x2b2,309,
x2b2,310,
x2b2,311,
x2b2,312,28.22
x2b2,313,27.055
x2b2,314,26.87
x2b2,315,27.602
x2b2,316,27.557
x2b2,317,
x2b2,318,28.504
x2b2,319,27.251
x2b2,320,28.019
x2b2,321,27.826
x2b2,322,27.548
x2b2,323,28.244
x2b2,324,27.605
x2b2,325,28.33
x2b2,326,28.427
x2b2,327,27.649
x2b2,328,26.949
x2b2,329,26.457
x2b2,330,27.606
x2b2,331,27.436
x2b2,332,26.821
x2b2,333,25.874
x2b2,334,26.219
x2b2,335,26.919
x2b2,336,29.299
x2b2,337,27.887
x2b2,338,27.534
x2b2,339,26.766
x2b2,340,28.308
x9b,200,32.347
x9b,201,27.502
x9b,202,29.407
x9b,203,29.185
x9b,204,29.89
x9b,205,29.411
x9b,206,30.555
x9b,207,25.993
x9b,208,28.297
x9b,209,28.109
x9b,210,26.392
x9b,211,30.457
x9b,212,27.921
x9b,213,29.319
x9b,214,27.009
x9b,215,28.389
x9b,216,26.728
x9b,217,27.792
x9b,218,27.806
x9b,219,27.81
x9b,220,27.356
x9b,221,26.516
x9b,222,27.488
x9b,223,28.287
x9b,224,26.965
x9b,225,28.892
x9b,226,27.922
x9b,227,28.099
x9b,228,27.63
x9b,229,28.33
x9b,230,27.99
x9b,231,29.222
x9b,232,27.621
x9b,233,27.323
x9b,234,27.61
x9b,235,26.866
x9b,236,28.167
x9b,237,30.73
x9b,238,27.836
x9b,239,27.044
x9b,240,34.003
x9b,241,28.158
x9b,242,27.974
x9b,243,28.437
x9b,244,27.055
x9b,245,28.045
x9b,246,29.058
x9b,247,27.63
x9b,248,28.416
x9b,249,28.432
x9b,250,26.956
x9b,251,26.738
x9b,252,28.81
x9b,253,28.388
x9b,254,29.23
x9b,255,26.51
x9b,256,28.398
x9b,257,27.841
x9b,258,28.837
x9b,259,28.391
x9b,260,27.816
x9b,261,29.221
x9b,262,28.972
x9b,263,28.124
x9b,264,27.089
x9b,265,27.175
x9b,266,30.1
x9b,267,27.322
x9b,268,27.929
x9b,269,30.365
x9b,270,29.041
x9b,271,27.955
x9b,272,29.502
x9b,273,27.214
x9b,274,28.792
x9b,275,33.223
x9b,276,29.649
x9b,277,30.155
x9b,278,27.135
x9b,279,28.106
x9b,280,28.766
x9b,281,28.26
x9b,282,29.15
x9b,283,28.569
x9b,284,27.106
x9b,285,28.188
x9b,286,29.372
x9b,287,30.393
x9b,288,26.193
x9b,289,27.276
x9b,290,29.065
x9b,291,29.141
x9b,292,30.959
x9b,293,28.23
x9b,294,31.303
x9b,295,29.097
x9b,296,29.043
x9b,297,28.847
x9b,298,31.149
x9b,299,29.444
x9b,300,32.358
x9b,301,27.917
x9b,302,28.037
x9b,303,28.841
x9b,304,28.616
x9b,305,27.36
x9b,306,28.473
x9b,307,27.816
x9b,308,27.6
x9b,309,26.425
x9b,310,27.008
x9b,311,
x9b,312,27.769
x9b,313,28.918
x9b,314,26.786
x9b,315,27.559
x9b,316,27.767
x9b,317,28.572
x9b,318,
x9b,319,27.319
x9b,320,27.478
x9b,321,28.795
x9b,322,26.972
x9b,323,28.813
x9b,324,27.15
x9b,325,28.107
x9b,326,29.986
x9b,327,28.502
x9b,328,28.723
x9b,329,26.342
x9b,330,27.759
x9b,331,26.813
x9b,332,27.287
x9b,333,26.99
x9b,334,27.918
x9b,335,28.514
x9b,336,26.628
x9b,337,26.202
x9b,338,27.559
x9b,339,27.07
x9b,340,28.212
x9b,341,26.315
x9b,342,27.136
x9b,343,25.691
x9b,344,26.265
x9b,345,26.59
x9b,346,27.181
x9b,347,27.697
x9b,348,26.266
x9b,349,25.557
x9b,350,26.828