year,g1e3b,g2e3b,g2e6d,g3e1c,gms03b,gms06b
1901,NA,NA,28.75,29.28,27.8,NA
1902,28.24,NA,29.53,26.65,27.15,28.89
1903,29.39,NA,29.36,0,28.11,29.6
1904,30.99,NA,31.08,29.77,29.4,29.85
1905,27.64,NA,28.62,28.63,26.04,28.34
1906,29.34,NA,29.32,28.5,27.73,29.7
1907,28.88,NA,29.14,28.46,25.94,29.23
1908,29.09,NA,29.06,28.86,26.79,29.21
1909,28.52,NA,28.59,28.17,27.04,28.9
1910,29.21,NA,27.5,28.35,27.16,28.48
1911,30.12,NA,29.98,29.52,29,29.64
1912,28.13,NA,28.16,28.57,27.92,28.13
1913,27.49,NA,28.99,29.07,28.26,28.63
1914,27.26,NA,28.13,27.51,27.65,27.38
1915,0,NA,26.6,27.82,0,28.11
1916,0,NA,27.88,27.22,0,26.81
1917,29.87,NA,29.64,29.36,0,29.63
1918,29.48,NA,29.08,28.57,28.04,0
1919,29.22,NA,28.56,27.89,0,28.61
1920,28.97,NA,29.55,28.95,27.46,28.4
1921,31.84,NA,30.04,29.49,29.54,29.45
1922,29.31,NA,28.96,28.29,28.3,29.21
1923,29.37,NA,28.77,28.23,28.52,28.94
1924,29.41,NA,28.95,28.9,28.11,29.15
1925,29.24,NA,28.58,29.03,29.19,29.14
1926,28.46,NA,28.37,28.3,27.97,27.89
1927,27.06,NA,28.03,27.57,27.14,27.5
1928,29.98,NA,30.38,29.9,29.57,29.99
1929,28.93,NA,28.81,29.14,28.76,29.52
1930,28.31,NA,30.05,28.56,28.25,28.58
1931,28.32,NA,29.86,28.47,26.81,28.11
1932,28.65,NA,29.3,29.11,27.49,28.41
1933,28.46,NA,29.04,29.01,27.09,28.83
1934,29.68,NA,30.37,29.34,29.12,29.4
1935,29.21,NA,29.74,28.8,28.62,29.1
1936,27.72,NA,27.27,27.75,27.02,28.04
1937,27.83,NA,28.44,27.66,27.25,27.9
1938,28.66,NA,29.28,28.51,28.85,28.69
1939,28.06,NA,29.64,28.47,27.41,28.42
1940,28.45,NA,28.78,28.02,27.87,28.01
1941,27.51,NA,27.79,26.82,27.01,27.56
1942,27.93,NA,28.94,27.98,28.07,27.47
1943,29.14,NA,29.69,28.92,29.93,29.89
1944,29.38,NA,28.51,28.57,29.32,28.75
1945,27.88,NA,28.57,27.1,27.9,27.2
1946,28.7,NA,27.87,28.16,28.66,27.58
1947,28.46,NA,28.8,28.59,28.96,28.61
1948,27.89,NA,28.5,27.76,28.33,27.8
1949,29.4,NA,29.84,28.4,29.23,28.79
1950,27.93,NA,31.6,28.5,27.99,27.53
1951,28.67,NA,29.94,28.24,27.51,28.13
1952,29.44,NA,31.01,29.09,28.6,29.51
1953,29.1,NA,30.27,28.41,27.69,28.73
1954,28.37,NA,30.21,27.84,27.35,27.99
1955,27.22,NA,28.93,26.57,26.53,27.17
1956,28.78,NA,30.4,28.56,27.38,29.21
1957,29.12,NA,30.76,28.31,28.08,28.23
1958,29.06,NA,32.23,28.15,27.86,29.52
1959,29.67,NA,31.5,28.45,29.26,30.88
1960,28.26,NA,29.78,27.02,27.42,28.68
1961,28.41,NA,30.3,27.39,27.43,28.82
1962,27.91,NA,30.35,26.73,26.96,28.25
1963,29.86,NA,31.68,27.92,27.79,0
1964,29.9,NA,32.24,28.41,29.07,29.81
1965,28.58,NA,29.6,27.37,27.62,0
1966,28.04,NA,29.49,29.66,27.76,26.71
1967,29.17,27.48,28.65,28.81,27.89,27.26
1968,28.78,27.36,28.68,28.38,27.93,26.57
1969,28.47,25.61,27.67,28.48,27.38,29.36
1970,28.03,26.1,27.4,27.9,27.44,27.54
1971,28.41,27.46,28.71,27.91,28.75,29.44
1972,28.57,26.92,27.42,26.67,28.03,27.57
1973,28.84,27.87,29.05,29.08,29.1,28.87
1974,28.99,26.85,28.14,27.14,28.21,28.18
1975,29.29,27.48,28.62,27.72,29.22,26.24
1976,29.85,29.25,29.8,27.21,28.8,29.04
1977,28.78,26.33,27.85,28.55,27.36,24.58
1978,28.85,26.64,27.49,28.38,28.73,27.56
1979,27.86,27.09,28.13,26.04,27.63,28.17
1980,26.38,25.41,26.85,25.45,26.26,23.76
1981,0,26.23,27.62,27.68,27.95,25.19
1982,0,27.52,28.12,26.79,28.78,23.63
1983,0,27.92,28.64,27.08,28.63,29.38
1984,0,25.74,27.9,26.79,27.8,24.56
1985,0,25.48,0,27.12,28.54,26.07
1986,0,27.61,27.39,26.43,29.28,25.97
1987,0,26.16,27.22,26.8,27.12,25.2
1988,0,27.1,28.19,27.58,27.79,27.28
1989,30.96,28.14,28.77,29.65,28.06,27.48
1990,29.17,27.54,28.55,29.47,27.95,27.4
1991,28.67,26.07,25.37,28.3,27.83,25.2
1992,29.92,27.82,29.47,30.27,28.23,29.11
1993,28.4,26.84,28.17,29.07,28.14,27.89
1994,29.54,26.46,29.48,28.23,28.5,28.51
1995,28.94,26.24,27.55,27.41,27.84,30
1996,27.64,26.42,27.74,27.39,29.52,0
1997,28.02,27.93,27.72,0,28.9,28.97
1998,28.69,26.35,28.8,27.78,26.02,29.58
1999,29.85,27.88,28.28,29.02,28.58,28.02
2000,30.76,27.79,29.92,29.64,0,28.79
2001,28.75,27.05,29.39,28.79,27.07,27.89
2002,29.32,24.87,28.61,27.78,0,26.62
2003,0,27.98,29.3,27.72,28.64,29.52
2004,26.29,25.54,28.85,27.56,27.79,28
2005,27.6,26.8,28.13,24.84,28.14,25.08
2006,29.18,26.44,29.58,29.26,29.21,29.47
2007,28.71,25.78,28.36,27.85,27.74,29.96
2008,29.67,26.88,30.08,27.32,28.92,29.97
2009,28.88,26.32,29.64,29.04,28.82,29.21
2010,0,27.3,26.78,29.21,28.11,29.28
2011,28.74,27.38,29.67,29.08,28.75,29.09
2012,26.53,25.55,29.28,29.08,27.37,27.94
2013,29.36,26.56,28.45,28.85,28.14,29.85
2014,28.44,28.19,28.22,27.8,27.65,28.74
2015,29.76,29.12,29.95,30.14,28.54,31.38
2016,NA,26.88,27.89,27.74,NA,NA